Start report at 10: 58:59 PM,10,iterations,5,generations, kValue:,35,Inherit ELO:,True,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,2867,1984,337.83299520932,145.199760654058,0.695518062180808,0.23136418834342,29.5579786913925,38.0039830802723,0.0824107707660211,0.0950335063885545,
0,1,3073,1778,334.950478652894,215.743868294981,0.656763783176662,0.20877389752256,19.7284705655024,57.1546143819467,0.0500175507097032,0.12072899219282,
0,2,3070,1781,334.373173547904,196.232747481149,0.652461936843786,0.252869310977401,70.7658723675346,155.680619589702,0.143920788221318,0.259452319373265,
0,3,1485,3366,314.073801390165,205.767349849375,0.606466301627133,0.310715890416453,70.0797693707676,112.648070506486,0.169519326103896,0.236822551687005,
0,4,1793,3058,213.98342669208,116.228235641789,0.5098348430768,0.226132917107556,44.5856944823895,67.083017555693,0.1182685510926,0.154995935974498,
0,Average,12288,11967,315.304975592515,187.274114293946,0.637213530894995,0.248841828161901,49.468189730502,97.1659372448306,0.120416510327625,0.193216649574717,
1,0,3461,1390,288.639060607152,157.46973629899,0.615209815437731,0.264698695734381,69.8919560141013,75.0708954072741,0.18667716081644,0.18449985122727,
1,1,2938,1913,326.244423202188,197.987794861777,0.633847832673223,0.285075316432445,71.3221159026091,107.215761071285,0.175271289880816,0.219694351261207,
1,2,3337,1514,382.334318646002,221.169948113146,0.700158936952779,0.241282948902341,47.981896117451,43.8936830521947,0.133977596350045,0.112098597854326,
1,3,2826,2025,405.460241896698,156.79197929572,0.7652686219546,0.224261005911583,51.4124223922234,71.2050439615746,0.137513066435277,0.175828569649454,
1,4,3284,1567,347.34683895014,214.572140264531,0.652639876757346,0.289289216286923,68.0451043669931,76.2224104823853,0.180668708656637,0.175721160244761,
1,Average,15846,8409,348.343631715474,196.483143150861,0.671073769856755,0.267794560550757,61.4782317981262,79.3482361578929,0.161635050296968,0.18044306317584,
2,0,2874,1977,317.141425069966,114.749645745516,0.684755322670405,0.20881800586879,31.1789739528453,30.7487840629608,0.0881232127312644,0.080543312866419,
2,1,2348,2503,211.610804020276,65.1069936624659,0.530883151312864,0.144171774890418,33.9603287848852,38.7081840436913,0.0957571208729152,0.107195868502848,
2,2,2482,2369,245.868641462715,148.759214738372,0.546179695989162,0.243436646800966,70.4928090920472,149.693043279696,0.148184327230668,0.248054603036206,
2,3,2640,2211,310.070689258327,159.890155224338,0.642077675436749,0.245742660080909,106.948809398628,130.894947631876,0.254426386157008,0.268869239462658,
2,4,2015,2836,266.667970714408,125.861063479168,0.599302964267986,0.230801089221416,99.0828657505484,119.970906316115,0.24177555213378,0.249797643202193,
2,Average,12359,11896,273.039499331069,134.059868488577,0.604644306030863,0.22603383604965,69.8641412274148,111.936001749688,0.169230038833946,0.221319250759452,
3,0,2672,2179,330.034247148598,171.141472860137,0.673370767286302,0.193501352648677,26.2038987981296,36.936896070066,0.0735957170295474,0.09992024258076,
3,1,2074,2777,297.01045055397,168.01160731089,0.614560758350968,0.276222784033469,53.6211074255292,72.5649339617875,0.142680892670175,0.179136879040081,
3,2,2492,2359,418.61377745886,142.329607994672,0.789477230679715,0.182663042152185,46.5702891974454,104.724610751706,0.108780287258177,0.19661063283466,
3,3,2527,2324,434.842430750143,143.857319524713,0.800551958626059,0.196013722862691,25.4053678512803,75.3864707410916,0.060711740747618,0.145563624626252,
3,4,3625,1226,439.754650117102,256.398964349538,0.727445545647205,0.278464892275159,47.9805293738056,48.6167902574095,0.133703114214631,0.131346136489659,
3,Average,13390,10865,390.888285693622,197.353754663142,0.724511416301865,0.240866531666358,39.9198920310402,75.037983340855,0.102919163140276,0.161703599663757,
4,0,3545,1306,297.386438271167,80.7597092800543,0.675107693396647,0.134152090518723,22.2129558525145,28.9464658712437,0.0625255208867397,0.0713922537456103,
4,1,3452,1399,400.305452791059,155.310929299422,0.766855097933495,0.164121395177178,22.5209061663284,20.1587136340562,0.0644570981213777,0.0573657314558199,
4,2,3405,1446,433.601518799295,225.168332837579,0.753337011797037,0.228409995947756,49.7659404056519,77.7074421625035,0.130026056660507,0.183295848504315,
4,3,3111,1740,433.738641771487,253.68620484448,0.731330960402644,0.270707893079314,113.631735462472,183.044924765732,0.236841979458129,0.285802111390808,
4,4,2944,1907,376.914103270705,159.379683260794,0.730894113920989,0.24659418275369,113.191881611493,156.674249466326,0.253575323979882,0.281976539892646,
