Start report at 11: 06:27 PM,10,iterations,5,generations, kValue:,50,Inherit ELO:,True,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,3287,1564,340.467259736627,118.191147367331,0.714891200702492,0.211242610219117,26.0477162414979,15.6084817143576,0.0746754011217918,0.044582110296594,
0,1,2690,2161,244.312698377001,143.579915328556,0.547939916957893,0.247231687168366,81.2332482977115,134.112966001276,0.187871243963644,0.222552560742814,
0,2,2446,2405,240.161905228845,123.168061536456,0.556952113403537,0.203882252468701,93.3916013811814,102.785517501998,0.237770650786439,0.204639533395909,
0,3,2904,1947,217.98948866723,146.339619999329,0.496511904326798,0.25154080572628,126.447930207528,128.690502423331,0.305283140835781,0.262735669885935,
0,4,3247,1604,331.43193521832,167.29351903871,0.673763063437017,0.233879523920892,137.08877216941,171.956338185473,0.300651634020756,0.298955901083668,
0,Average,14574,9681,279.467135331531,150.617462897395,0.604891578142985,0.24541348647611,93.6860850912707,127.320205960126,0.224279722846591,0.238148116730047,
1,0,3149,1702,372.460480993974,265.956387073772,0.649235437232879,0.322387812490659,36.208346074259,39.0567653374422,0.100968188328522,0.0930109827124979,
1,1,2580,2271,424.616043045264,67.2520799459845,0.829707766657829,0.0841728078483593,6.91801893234718,6.37371827549993,0.0198995394093852,0.0183188530432068,
1,2,2471,2380,271.905506034609,128.561431331776,0.608154272326523,0.199641648454648,40.3878112382132,111.21563758459,0.0883974849108861,0.176469324444944,
1,3,3370,1481,440.366526614748,212.047286802694,0.768150412964364,0.217054568661388,55.8186243166787,132.310701023729,0.119662674357536,0.232462264432071,
1,4,2806,2045,306.568410306292,167.799528840354,0.631055588659439,0.265004434315077,96.5159011173611,151.515051494624,0.216999757770666,0.253934348213913,
1,Average,14376,9879,367.594052944454,198.276055367131,0.698890269213317,0.250377973133659,45.9057411841991,107.454662123963,0.106125179672668,0.18676468253197,
2,0,3794,1057,266.72731715494,157.313126363291,0.575743592061315,0.325919137896008,30.8089126920108,18.4300035905038,0.0881923706631179,0.0525211854400514,
2,1,2669,2182,313.518514462807,177.931219817921,0.646176768531514,0.200418140054413,40.4509619850466,43.6995717883749,0.113209809332836,0.116683960212648,
2,2,3071,1780,359.563028486893,238.410416005306,0.650023785827841,0.269978038771532,62.277700511096,160.721199986305,0.123301926093596,0.212074822092636,
2,3,3279,1572,423.672783580104,319.220117683613,0.679348280330768,0.277735837787623,98.7064743829318,158.704532899771,0.219973904894781,0.235143876829972,
2,4,3324,1527,542.753560731795,266.400049298436,0.824125518462413,0.20024542346614,119.564888176999,197.697583798455,0.237940202834313,0.297399921054418,
2,Average,16137,8118,380.882339350684,258.586186459488,0.673744578567404,0.276727940411265,70.1435684470094,139.713835703778,0.156301334863804,0.211198767291099,
3,0,2789,2062,429.595252862836,242.704118492337,0.753096728486528,0.185015864005814,29.8419918623696,41.301001472101,0.0827945723810882,0.10193120584932,
3,1,2408,2443,270.286195920773,71.0083520976544,0.636259664500155,0.136235555808173,28.5634910061483,30.9994393654626,0.0811141317566459,0.0869300059138193,
