Start report at 10: 32:37 PM,10,iterations,5,generations, kValue:,25,Inherit ELO:,False,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,3329,1522,260.005999502938,156.687470123545,0.563973949645332,0.28088589143072,32.6445925127079,28.4299515554389,0.0926859722036638,0.0775377309321321,
0,1,3482,1369,134.700212365303,99.9963311939337,0.345310636796225,0.247050794979977,84.3924901831324,115.128138886576,0.205677826966488,0.232622593557465,
0,2,3344,1507,211.176732113505,98.157806363539,0.514713765551002,0.208767941269219,31.8516760603525,34.9951752908999,0.0893639197538271,0.0872432927036557,
0,3,3520,1331,279.588998586833,156.016234076911,0.60261407706344,0.240580190863897,35.4135741956784,50.2907621123765,0.0971245352811288,0.126804774109345,
0,4,3388,1463,163.770551589929,77.9896573216234,0.42281605372084,0.177113892493704,78.2708521230321,104.50430210741,0.19573398631227,0.22537207717504,
0,Average,17063,7192,209.797163910283,134.224978552692,0.489641099980419,0.252051506618048,52.1224400164688,78.712590627298,0.135281423847908,0.171048548963949,
1,0,2863,1988,265.650970777871,84.3273843137642,0.62280705960233,0.156549095156738,20.5629892436545,24.8794225265197,0.0580874635023047,0.0595944964918181,
1,1,3760,1091,249.030967700273,202.68350067661,0.506279016788323,0.322926025709352,34.2338899680851,33.2973202257145,0.0966399037252291,0.0889313759736821,
1,2,3289,1562,209.428049960675,99.1065262057632,0.511096497654131,0.220711384950808,53.3765238658508,83.8846523249709,0.136229016388824,0.181991220229333,
1,3,4272,579,177.822831014811,122.924675084735,0.431530327580245,0.290440584751312,16.8185273600116,14.2241909257912,0.0482647785076504,0.040682925583084,
1,4,3926,925,178.70195910924,128.229326689357,0.429709680493213,0.300023565696139,13.6257603813255,9.01435184013338,0.0391692302596699,0.0258821932075865,
1,Average,18110,6145,212.422255647094,140.7936478185,0.491344001136897,0.279824465263115,29.9339760039378,49.4435130035877,0.0810217381207928,0.112168919075026,
2,0,2863,1988,165.034945264013,81.7981160832028,0.423628979493092,0.18741456876558,46.2309976859947,55.9932938277743,0.126385467296466,0.138231887741582,
