Start report at 10: 25:26 PM,10,iterations,5,generations, kValue:,10,Inherit ELO:,False,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,3594,1257,128.773165254974,114.991828391748,0.320862046086605,0.253732321229346,22.8670631305945,27.532836611107,0.0649025205038669,0.076172337900118,
0,1,2627,2224,121.631975580707,52.6139180595499,0.329835051210676,0.131610829383897,58.3747209349545,90.4452967092823,0.150140795527639,0.221375749260796,
0,2,3720,1131,141.390549701848,85.1169885237798,0.366158931945725,0.196048966970986,11.378542035473,28.3579227302196,0.0317388936071235,0.0761399509299374,
0,3,3477,1374,137.140090337716,60.1470547219471,0.366120499706736,0.146736361056686,7.17192087424144,10.7989669180399,0.0205587088080464,0.0304519777090779,
0,4,2971,1880,87.3727350445739,73.3758000606697,0.234615353571599,0.184917446567711,22.548878386178,30.531038419792,0.0638780673225127,0.0849863474742635,
0,Average,16389,7866,124.762419341597,84.1738018070871,0.326548861611161,0.196506389537801,28.4368827108872,56.393963824885,0.0762434170690399,0.141182742244597,
1,0,3111,1740,157.568961233085,83.3455808074506,0.406568007173865,0.202241100675509,29.5503613145303,45.3557313935439,0.0818695570450547,0.120830187021614,
1,1,2520,2331,76.1806748103408,46.4924010531861,0.212067294672692,0.125477987064641,41.9242638031976,61.9098538377154,0.113428974339804,0.157939985949602,
1,2,2824,2027,129.438342461196,100.611727394132,0.32996898752449,0.234388866669106,28.5586934188031,30.479576046458,0.0811143270833094,0.0854481853555124,
1,3,3475,1376,151.714338681359,75.7717513066334,0.395546505033879,0.182039212710649,16.0719089713949,24.8275509694479,0.0456354001550732,0.0690719604581371,
1,4,3632,1219,81.6828773984778,58.3432955024189,0.224266434945131,0.151877747578832,79.2758284795401,99.0588011411535,0.203257782450886,0.243188650057848,
1,Average,15562,8693,120.266402496953,82.6352016170346,0.316163402543096,0.200699629193807,37.4765605468363,59.0225878040566,0.101442569522991,0.15006774375517,
2,0,1769,3082,141.229208321281,74.9360289806923,0.371744517139568,0.187391384166962,10.584280571055,7.26469505804948,0.0304400034737741,0.0208781814205163,
2,1,2896,1955,158.970717932036,78.3335288640027,0.411646423498874,0.184315075677536,38.2196539014578,49.9017249700578,0.106333972269807,0.136963454713972,
2,2,2345,2506,91.4800647568357,56.4033382944668,0.251206168417323,0.1499017106654,31.2450405412838,41.154127166363,0.0875560991705514,0.111412718702185,
2,3,2771,2080,97.1466333688436,63.1884142521837,0.264327209566909,0.164212382658092,43.2717550331334,53.2145399714799,0.119399025101757,0.140499556558504,
2,4,3768,1083,149.956950119503,135.835297196239,0.355740217023705,0.280912870147669,16.42032962195,16.8826097398665,0.0470366161539855,0.0479383929494463,
2,Average,13549,10706,129.822535214528,96.5783647767483,0.332991541343751,0.216748589776468,27.4078755037631,40.1589590703828,0.076630414582614,0.108496162471271,
