Start report at 10: 35:02 PM,10,iterations,5,generations, kValue:,30,Inherit ELO:,False,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,2603,2248,264.218674504862,82.5449083275135,0.620879550892545,0.167108054311381,34.9283590148158,40.0260099431903,0.0977856609172548,0.106124533254484,
0,1,3579,1272,253.98992987162,113.446900674949,0.586818560087727,0.240987618136509,14.9111938061075,12.0668824792015,0.0428216789682393,0.0345321051191774,
0,2,3291,1560,303.97027560668,190.149187942569,0.60745769169707,0.302599168029703,34.5676391540045,36.4488005665144,0.0970415277937539,0.0940472794340351,
0,3,3445,1406,221.55401023346,140.059953315008,0.508073455006068,0.266341046223234,56.3335493193951,79.3381996906646,0.146866669925533,0.179185199967698,
0,4,3731,1120,238.527283837974,147.149317546306,0.534930038305619,0.26396558756094,99.7940497965868,136.641197511523,0.232405827005295,0.258155135083108,
0,Average,16649,7606,255.291981922158,143.771458997147,0.56830160287804,0.258944422727935,45.0152265030459,73.1627488662528,0.117336995649366,0.155973826572646,
1,0,3187,1664,307.181516419793,176.602511313347,0.623606995116331,0.29110601920917,33.4115878380728,36.0777037196097,0.0937902660776133,0.092922555291887,
1,1,3883,968,178.394655165898,144.422183310612,0.416621656807423,0.305284798990887,91.1086305498516,115.027481106002,0.223852852344827,0.240501581938682,
1,2,3156,1695,149.898267523829,88.185214784753,0.386341801442588,0.193228763511744,102.796556433419,123.406285810461,0.249402177024337,0.255252820346089,
1,3,3066,1785,216.530525845839,152.255112780485,0.493657392403181,0.236598146852627,40.0322664505068,65.7993496089193,0.106862579547276,0.164015818892481,
1,4,3303,1548,280.288580290839,151.767381151351,0.604272505251803,0.248290210732785,27.2246044114757,47.7395223398924,0.0742802380730047,0.119604609169779,
1,Average,16595,7660,225.03456728462,157.2130493441,0.502195707268855,0.27745129954141,56.348757562999,88.1588973159247,0.143763546593745,0.19462137570344,
2,0,3246,1605,281.704377247464,64.0603421950594,0.657595273973058,0.113816168798183,19.04473056186,29.3084950034127,0.0536094698145171,0.0768785595716992,
2,1,3633,1218,235.615971651381,166.023939573849,0.520285653857326,0.287299736691528,70.5788540674107,79.9961545572554,0.18677456335283,0.195355242700845,
