Start report at 10: 49:20 PM,10,iterations,5,generations, kValue:,15,Inherit ELO:,True,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,2734,2117,93.4706721827352,64.3098668406962,0.254282351141152,0.167317856624918,41.1331976828781,52.4916319998674,0.113147997406507,0.135224986935329,
0,1,3138,1713,242.668250768212,60.9311081074659,0.591881789702325,0.120891631793508,20.8877794855141,18.1431205745242,0.059831014940519,0.0516783314603665,
0,2,3332,1519,294.787280722468,115.053511997251,0.651572869302515,0.211451106318044,16.3139883442168,14.2182509283476,0.0468090277979121,0.0405565067083544,
0,3,3428,1423,338.316896704183,135.922986764941,0.699175528565745,0.222434649079992,19.9009806902152,33.8473621827306,0.0557597838284203,0.091250203431687,
0,4,3059,1792,387.226400272944,164.647615582082,0.736273135731993,0.252419175731546,16.4741281966875,20.4263904663239,0.0470752125076222,0.0578258059121028,
0,Average,15691,8564,276.817850255713,151.515835225243,0.597323754939093,0.260175328105995,23.9936276621723,34.0603909789393,0.0673555237656723,0.0902349795724602,
1,0,4462,389,32.6001084905282,58.3218326688112,0.088898979541634,0.157147958809039,40.016162835846,41.5680019818209,0.112326754295897,0.113411866038174,
1,1,2771,2080,248.291101930822,63.1299921286867,0.601526825377592,0.132010936472237,16.6683632015746,12.1638556976895,0.0478688603328397,0.0348410826055631,
1,2,2022,2829,303.013106980864,114.147459426942,0.664656010955055,0.235299878256242,63.5643799976144,93.2083902626283,0.162224020154127,0.218173871706503,
1,3,2943,1908,180.528632752492,156.813394145494,0.410655580452687,0.238935289881884,35.1181550881631,59.1163941864237,0.0933303478143243,0.119620381404942,
1,4,2326,2525,272.791260625652,118.980453891872,0.617719258310243,0.185335151573914,84.622459124813,121.319947816721,0.203306212064039,0.252603593037054,
1,Average,14524,9731,179.838685503731,148.051905599142,0.416745173649759,0.30042613624699,52.4855886357043,88.1706054863779,0.132937681535389,0.193339628160938,
2,0,2556,2295,209.238809014947,72.9425106024955,0.523380591273423,0.140151876159805,18.3832678229595,25.3598487324626,0.052166929597365,0.0694706849311865,
2,1,2251,2600,152.314588184728,88.4336469203968,0.39098032470855,0.195143246473496,72.397731828845,95.7955559804161,0.184601305597083,0.218607159618754,
2,2,2901,1950,215.159226482632,89.6293210387829,0.527202746620034,0.172073441770328,53.81433686296,92.7276293626345,0.136094633328238,0.221198552523614,
2,3,2755,2096,203.213295792386,75.2577718639773,0.509594986094625,0.165487113341656,72.5623185819557,106.941855562337,0.18061764483293,0.24508533611876,
2,4,2513,2338,211.459249938597,93.2576580116324,0.517805129163959,0.206583836942472,54.0671902104302,85.6559387311687,0.139270690915635,0.202168230185735,
2,Average,12976,11279,199.838253304243,87.0503128274847,0.497260415107757,0.18325580255534,54.4251591232582,88.1984268169707,0.139131172258091,0.205982714094023,
3,0,3024,1827,199.945628838232,60.3745015341496,0.508389190781881,0.130702021967546,15.3841368858152,23.0511746475504,0.0435448690299762,0.0609039005657943,
3,1,2730,2121,164.615741223006,105.962459479778,0.409912035449205,0.217759843193875,77.6225908346756,108.317257360326,0.192792626435273,0.243005283886833,
3,2,2162,2689,115.891217370535,57.4500885691664,0.314029488720847,0.145337332982974,49.3085869279818,57.3115282494082,0.135271240252271,0.148193472887379,
3,3,2555,2296,215.711160570094,106.905508401083,0.518031587267287,0.226810713327453,68.9653404456076,76.5152987740022,0.1843829223293,0.19301656224704,
3,4,2956,1895,227.728614341964,127.683475590695,0.527376544578342,0.25570039752269,80.6917796496071,92.3406478585285,0.209080250775306,0.219978095914095,
3,Average,13427,10828,188.34446759158,104.275016142528,0.46308604271667,0.217191760235414,58.7911403397853,80.3295625800906,0.15439271022466,0.192826968718095,
4,0,2247,2604,126.625452324674,88.6847568707644,0.330572893251822,0.220079215620831,91.9546352075009,96.4596850057535,0.237883268826107,0.235655297297679,
4,1,2931,1920,222.809235591254,142.979323241897,0.506903970769236,0.238806066558809,15.016641986459,20.4684045627929,0.0428317182801999,0.0572158776460992,
4,2,2128,2723,199.813075228637,146.106990377523,0.457512900357965,0.305116536083937,54.63516384181,69.2119341242542,0.146877665687184,0.174196757870976,
4,3,3135,1716,223.322795293129,140.713458412862,0.508380343701292,0.252253150153372,46.3013074179857,67.7352835810009,0.123605568817782,0.167331868415857,
4,4,2428,2423,213.454266743966,118.776498242547,0.506589217289481,0.23441320443235,56.2125353344939,82.8059817507329,0.146665021085576,0.200801317097481,
4,Average,12869,11386,200.572492647165,135.164372846442,0.468248603504983,0.258934461020319,55.5690664395157,78.0268336106091,0.146593124624015,0.192642799070442,
5,0,4338,513,115.287324087714,91.9755054641457,0.3014367054207,0.233839337062333,73.6409913076065,134.345882670971,0.165273857420205,0.274025321338165,
5,1,2618,2233,177.097070005884,82.3661254616617,0.450975245142739,0.194006075522844,51.7353451978715,59.5126223979674,0.14134363493562,0.151846029593932,
5,2,3181,1670,239.436294812201,145.708033464744,0.53535132253742,0.2601976648923,26.4961301635714,34.4915644591279,0.0743435797129087,0.0890120015778904,
5,3,2904,1947,336.601227366399,117.257533930441,0.709768955108621,0.195815245211863,27.9540270416746,31.9633945353862,0.0792780406019549,0.0893520212885927,
5,4,1872,2979,290.106660699075,187.887177717422,0.584008442181953,0.33960922060623,63.3322032422751,84.7509234139033,0.164832548825836,0.199143257909936,
5,Average,14913,9342,217.660633545645,148.799542662962,0.492568297880391,0.283647316434535,47.1681134499775,69.5259445253575,0.125235507577878,0.164056429646149,
6,0,2589,2262,107.717749598709,59.3239394889223,0.292856971412111,0.153677050290226,30.1675424929532,37.7087236697023,0.0846919197394569,0.101708592340871,
6,1,2339,2512,149.796351960866,79.5656758037579,0.389185390167464,0.185622213173954,79.9910963548862,96.6400709043229,0.204874413245378,0.223515923584103,
6,2,2661,2190,166.681018517147,105.816216745143,0.41437188033326,0.223571773207277,60.7572372818569,84.3130048710764,0.157721766373455,0.188628385759766,
6,3,2580,2271,273.78124981587,101.964194956417,0.626883648824635,0.200541433972268,62.1642770069015,91.5915690641062,0.159846725083634,0.219899834728746,
6,4,2583,2268,159.283174848,101.503652978619,0.400723343453515,0.230322917304625,79.6656834338386,85.8362527193487,0.209679650570225,0.210566341868782,
6,Average,12752,11503,171.783028260585,107.082066166613,0.425312351808535,0.229339358795539,62.9480837973068,84.3343724071829,0.164321801011832,0.200077267104606,
7,0,2716,2135,138.715768445995,66.3532205510438,0.368301816857266,0.165173411331005,24.4790748312489,38.9654047649799,0.0682675455565534,0.1037774220174,
7,1,2575,2276,229.001176919661,90.1104941933982,0.553945979290395,0.198133051844912,55.4966365004953,90.4965724920294,0.141018849806031,0.209669533161044,
