Start report at 02: 51:54 PM,10,iterations,5,generations, kValue:,10,Inherit ELO:,False,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,1045,1405,"101,535739654914","45,219298878039","0,280158109284724","0,120850202017194","36,7036618123267","52,3046219314824","0,101483873894223","0,14163674719507"
0,1,1487,963,"148,838724083997","56,4103245871817","0,395436629067668","0,135304150994677","57,4934685551362","114,037487049979","0,135368575843019","0,26231769379973"
0,2,1048,1402,"102,989529947964","59,9742191186382","0,280523808119547","0,157003552275509","28,9342422822406","36,3600577668058","0,0816616284593907","0,100950201098237"
0,3,1048,1402,"56,0729361448857","38,3873176354603","0,157950015195771","0,105986591012357","27,3101959978393","33,2703119621771","0,0774282989614723","0,093538974605094"
0,4,1545,905,"189,151515755529","94,8759294904073","0,471992521990141","0,227243008338812","8,68133020356946","13,6597575152927","0,0249024018059036","0,039060808399215"
0,Average,6173,6077,"127,387751005975","79,8101749707373","0,335254901172101","0,194449000206758","31,8654206627971","58,9725790208875","0,0853259064072081","0,145456362951522"
1,0,966,1484,"109,262465286287","38,2882679020419","0,301433600054801","0,101357112566235","37,312259310874","43,0892164064381","0,104714836743424","0,118833713411587"
1,1,1551,899,"210,6606981386","77,4872983049237","0,523469450152169","0,156073878040444","7,78213572231123","21,6244372102567","0,0217452338269127","0,0564323298728455"
1,2,1651,799,"193,479844444117","84,217550113166","0,484323820552535","0,157160717489045","18,0121209456052","36,4698948533563","0,0503377456415999","0,100216462859188"
1,3,1438,1012,"101,863453990066","47,7135417058463","0,279926260284564","0,121187058388672","53,1142671268955","63,7834430107354","0,145173891914618","0,170102871640602"
1,4,1551,899,"197,093956469682","82,8805974939018","0,492671409586534","0,168976025828121","13,6594213005115","38,6447663376793","0,0370174474405097","0,0980730131737427"
1,Average,7157,5093,"168,211524490562","84,5772911819134","0,428862920375731","0,177994170137139","28,0366533573163","46,6787919837608","0,0776281770217721","0,125615766052795"
2,0,1324,1126,"220,599996395924","62,4183872897621","0,549701532314419","0,104145927557118","8,70776880555714","20,6529886941757","0,0246224475538734","0,056699055978386"
2,1,1464,986,"218,533586399975","68,4998778381076","0,543120695584169","0,128850770711961","3,57694620211165","4,24518015289231","0,010291926255984","0,012206484451503"
2,2,1307,1143,"129,122168761757","50,4885409887253","0,349410684722649","0,129798170970645","35,6320745266748","45,7040802914712","0,0997048439176619","0,126195683639729"
2,3,1264,1186,"90,5211741758154","56,957996488234","0,247975182863956","0,147050677607812","41,7437747974179","54,3211926601474","0,115415532752552","0,147082876028145"
2,4,1603,847,"180,798009001789","71,7185011011213","0,463130591397538","0,163800333631272","28,9690747719238","61,2896861712701","0,0762597976737324","0,147346190985627"
2,Average,6962,5288,"170,210889525637","80,306407782511","0,436002910256005","0,178010636271656","24,2254540574671","45,1720582798775","0,0668135821305084","0,119317688301287"
3,0,1052,1398,"156,135583673976","41,7174545315764","0,417166288732362","0,10708235667231","32,0343714627612","54,2638228660632","0,0877002609453665","0,145055137986785"
3,1,1457,993,"184,687854041884","67,745649107732","0,472904748833862","0,134289096844009","27,3672727273092","68,6836678975774","0,0700593275991037","0,169294915615177"
3,2,1579,871,"210,080079100564","68,1442265511418","0,526247293598537","0,139680558112473","4,75206059333761","6,04519681835275","0,0136702591107252","0,0173844683874044"
3,3,1675,775,"162,858574418384","88,4661487224842","0,41521007993869","0,19477188586356","29,7209972599829","48,6830156529893","0,0823006019460069","0,132600087383772"
3,4,1231,1219,"191,819110696734","84,7043529779831","0,481228647786489","0,187253662578649","29,7362151541775","32,9852650804371","0,0843756158572186","0,0929012174215687"
3,Average,6994,5256,"182,153091175623","76,0802901824363","0,46421146421389","0,164276429163073","25,7574233351188","48,7071655789517","0,0705322517182419","0,12780750470777"
4,0,1263,1187,"126,169143511947","55,5496948553794","0,340360307642949","0,138534420157927","42,750446832757","45,1063936690857","0,11978419758118","0,123935036440561"
4,1,1822,628,"200,914945707381","87,593795000603","0,498175251216289","0,175485339292385","2,81897232557156","5,17599722335058","0,00810895101276181","0,0148817890065743"
4,2,1661,789,"209,738093319599","67,4899463474624","0,525628281487221","0,131138029224981","3,77279653491913","4,37136528591268","0,0108561971783026","0,0125767177310253"
4,3,1732,718,"194,680953815636","100,114948134688","0,478348155173391","0,201916174210301","15,651359074299","25,0717075064743","0,0445499301584245","0,0708714237370306"
4,4,1634,816,"179,089334721312","81,5004839205432","0,45471030224816","0,172562087678355","28,0801072852012","56,2768679229333","0,0758995900946216","0,147307714033273"
4,Average,8112,4138,"185,356634280276","85,8043664872035","0,466237005726479","0,177779339116392","21,6633336967288","39,7720074601501","0,0603583177161711","0,107730939816849"
