Start report at 03: 28:24 PM,10,iterations,5,generations, kValue:,40,Inherit ELO:,True,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,1257,1193,"192,440067427512","92,9813584812677","0,47834878411022","0,203579491948593","73,3083871540202","103,551840261057","0,183825389613027","0,236996242048358"
0,1,1518,932,"331,032051363724","202,687972270485","0,640705818953685","0,281294373572903","36,9998733749561","71,6305989470954","0,0963198996566326","0,172675670526464"
0,2,1796,654,"453,175173740529","204,989166441488","0,795384169866852","0,150950880568328","9,14346624616507","11,8617919360209","0,0262544184260775","0,0339622734325302"
0,3,1513,937,"291,682606134625","142,715835972526","0,630651386543669","0,222435165553215","75,1298137077975","148,732135540501","0,159285827735369","0,266071711252733"
0,4,1676,774,"528,253808779121","223,877700710728","0,854723753224147","0,117681803661454","6,46597437666754","6,57750955811972","0,0185973969278633","0,0188931957646325"
0,Average,7760,4490,"371,775205845361","218,095417539343","0,69446886367569","0,238605897642548","45,28327714854","97,0428425417444","0,109106777672424","0,201422337054363"
1,0,1766,684,"433,754648612686","195,734870515205","0,775888349295139","0,176354271996477","16,3359160441196","20,3260335462505","0,0467064979628147","0,0576942411837605"
1,1,1566,884,"433,184980687831","163,822021588257","0,800778382891125","0,135630688144189","11,1440290533781","18,0142120371795","0,0318715590558425","0,0512135149244145"
1,2,1628,822,"538,651766125734","183,56336741575","0,871798629098125","0,103768390843614","3,52274011886046","4,73695831512115","0,0101347628117147","0,0136179517986822"
1,3,1176,1274,"165,071241245322","118,556367001192","0,403287313253203","0,236025028681029","83,352816969608","110,366310444189","0,206685047447512","0,243175582275777"
1,4,1116,1334,"174,702384737091","142,285555274843","0,409412154219298","0,251096259878596","70,0998705432132","86,0483149112178","0,18339628611244","0,206677406140601"
1,Average,7252,4998,"373,744498832174","221,32993689981","0,685975701203664","0,2645662294505","44,742996550419","79,6236738948355","0,115330106835791","0,185700896979171"
2,0,1455,995,"455,289427248367","104,943042594445","0,845047130955874","0,0807328963111508","7,67009474518719","10,3696787757487","0,022038698435208","0,029757520567513"
2,1,1521,929,"496,047642945821","176,350468589041","0,84334699320369","0,122533059373183","7,72059468920707","8,77338395665234","0,0221936692805172","0,0251780647138812"
2,2,1392,1058,"436,764968351569","121,960008489142","0,816170998113651","0,150268603108485","13,8122042339424","15,921142580931","0,0396145735495953","0,0455528721815722"
2,3,1632,818,"558,692396394258","193,873549321234","0,878598123335847","0,127529544066226","5,2537521304192","7,07879092742593","0,0151054505678896","0,0203128127410461"
2,4,803,1647,"568,823626596051","118,781239960202","0,904397250634911","0,115645584756534","11,7149096819037","12,5745885207384","0,0336262944951173","0,0359054351805069"
2,Average,6803,5447,"498,818577184243","160,211323362325","0,853812657815927","0,125026663875372","9,73187338094805","12,0930627563382","0,0279415105779505","0,0346075629834899"
3,0,1130,1320,"116,540894232287","77,4693458760923","0,308566693364829","0,183829608241008","76,0832696933942","79,3628210581753","0,202513114431169","0,196339766434987"
3,1,1741,709,"369,892231620553","189,837513290042","0,701550737261318","0,251405409344142","58,5980926232791","110,847341927172","0,138933840788537","0,233130191996421"
3,2,1326,1124,"234,546546882173","136,929395525983","0,535948229568777","0,247780382001822","82,5228726832891","103,496395305081","0,208918518353783","0,242326677236471"
3,3,1415,1035,"236,780513493086","128,777634990832","0,544959558083428","0,222000369763843","98,9231517348521","105,025391529569","0,250657900682741","0,237225890736511"
3,4,1823,627,"411,954717806113","212,413369305866","0,750319468103318","0,177991765784136","18,6225331424922","38,6382408479378","0,0514299601226335","0,101115455347194"
3,Average,7435,4815,"292,228673040066","194,1923062402","0,594444884266687","0,264904342049027","72,438933102205","95,8400092914855","0,185321564070903","0,222456458203395"
4,0,1581,869,"443,530604162376","176,914668656408","0,796219047225477","0,152919863464411","12,5078741861881","22,3977504920266","0,0356016586939544","0,0631095955760524"
4,1,1060,1390,"292,542432999611","78,540111802275","0,668891773605308","0,151060202171425","64,8418358683465","88,3108316319155","0,167757218696874","0,208496790428209"
4,2,1404,1046,"332,429161484531","118,918464186102","0,707749420542017","0,162131434696368","68,3958384696399","139,449818160432","0,148042156706835","0,260223403158444"
4,3,1558,892,"385,803458061384","154,944802307235","0,747205054425666","0,19341480217587","35,3220804025867","85,4722056511942","0,0854880998911053","0,173826856657989"
4,4,1691,759,"489,253808709216","190,009428025805","0,832157492109928","0,15744541970097","9,43263296997913","50,2332501669275","0,0219515313304985","0,0650190930833497"
4,Average,7294,4956,"398,472358797848","169,576015321827","0,758548337548555","0,174466015255411","42,6166678182735","93,2569011600923","0,103286737024166","0,191651514287645"
5,0,1378,1072,"306,105226084086","180,726702641973","0,624396381936118","0,238248242124202","60,5514846908605","98,3161035240255","0,151188852272434","0,219573137617301"
5,1,1413,1037,"403,741069479889","138,04158722051","0,783424757138293","0,142360212339171","33,7485283255542","77,8873080501698","0,0839543954605889","0,167774414866675"
5,2,1549,901,"336,660703626075","201,757799604552","0,650403491130446","0,262226700439731","47,224980125316","80,08298702779","0,122787839118971","0,196857739956174"
5,3,1836,614,"498,198853236999","211,286727316766","0,830401930342419","0,130579071911796","10,2834584962882","13,4035871054409","0,0295168563062986","0,0383908375773034"
5,4,1481,969,"416,381605257756","281,029968831841","0,663817632442407","0,341541028096085","72,148923224953","124,919320109325","0,168936067224217","0,223095348554339"
5,Average,7657,4593,"397,693720068645","219,929403792061","0,716025109267511","0,247792091548431","47,6125566463777","92,7135873501076","0,117916263811715","0,194999554278237"
6,0,1162,1288,"170,73296550313","100,380793235042","0,426848672711353","0,219018566248426","78,8601595545345","92,4538233868628","0,204976226374817","0,226823941169889"
6,1,1620,830,"395,334816553487","182,109493218786","0,733719671559897","0,252400154328642","38,4748098856446","81,5294660025731","0,097188726219387","0,191623114489813"
6,2,1434,1016,"225,334090777159","119,565169101291","0,529068259296856","0,22863209458508","81,2901765570907","116,373375627311","0,198122203630431","0,258596913548824"
6,3,1502,948,"258,507694818557","151,230370639307","0,565806215060749","0,264152541375411","99,7178839785565","122,459332433712","0,24251499126997","0,264657020303331"
6,4,1623,827,"354,22841546597","226,411435530126","0,646226348408875","0,302566619300061","63,1149283005229","82,4005613103744","0,165812961630851","0,200532942406312"
6,Average,7341,4909,"289,491141646163","185,339122660939","0,591469037997298","0,276933573831583","73,9102458361242","102,896053304475","0,185984867022616","0,236627718475261"
7,0,1778,672,"428,506260229596","201,410620613973","0,777147881783714","0,177290551950407","9,17570963313051","10,6289512009804","0,026362482804435","0,0304703260480726"
7,1,1756,694,"435,227217118769","179,668568727912","0,785929454197371","0,176276555245197","22,7137640140973","73,9972717813086","0,0531017281980463","0,144870348585712"
7,2,1667,783,"347,301181845773","183,818361628218","0,681910185619679","0,239327455361976","75,0499846136788","114,284596117359","0,182155253996085","0,242023026513574"
7,3,1869,581,"503,171508310232","273,015402350707","0,787771691716718","0,235201520275039","42,2063929356507","75,8300261026522","0,109912592363548","0,185293096722794"
7,4,1760,690,"569,579760769765","304,875837827817","0,80761480497109","0,284110406316619","32,8891709382902","45,8397269699183","0,0916176437345752","0,124021345799369"
7,Average,8830,3420,"458,435121412489","246,527115524762","0,769235864482185","0,230204413388708","37,400295115436","77,8284513944487","0,0948161234014728","0,172768338619122"
8,0,1428,1022,"255,068577119804","144,021772426476","0,566455130736124","0,24460638522064","75,0896826085717","112,805487358573","0,183657253586801","0,251321377524313"
8,1,1615,835,"319,604780742896","179,094193365835","0,641239247343462","0,262620966198473","62,0073726705226","101,780120538066","0,153042967362939","0,226634143669553"
8,2,1480,970,"281,717889003422","113,416269196825","0,633951314673707","0,182592889847482","138,843790622753","228,142627932164","0,24563019333089","0,367322601473196"
8,3,1470,980,"354,324331670506","157,640917525742","0,708668741577877","0,209618746143374","64,2790614608858","111,619301008882","0,155280463111322","0,247942967506511"
8,4,1717,733,"299,660830447436","194,532467173739","0,605657304255865","0,259988516489645","91,0303737406281","127,854599976086","0,21570257162168","0,268844053230639"
8,Average,7710,4540,"302,557268247187","165,136104122835","0,630921387599838","0,239682721700403","86,5451614302784","148,505780865835","0,190316017024783","0,280572168216234"
9,0,1639,811,"453,95280706966","172,007453550748","0,818546890246475","0,102330233083538","8,41604697817026","8,07671470391636","0,0242001847833322","0,0231975662304574"
9,1,1644,806,"503,025394240473","153,591323939786","0,865198951361376","0,0738903116480359","6,04621852154957","10,224817806274","0,0173638967007399","0,0293058065226318"
9,2,1650,800,"533,596339608217","175,588926596616","0,876609907067057","0,078989526998141","9,13867703141192","14,0110289696101","0,0262039966087356","0,0400266882216407"
9,3,1806,644,"561,878713614953","238,437908942128","0,868412852748551","0,110003067306622","2,76644513925332","3,68890997465472","0,0079604860352889","0,0106117773425199"
9,4,1042,1408,"120,538418829187","73,4253852203342","0,320585806357128","0,180876343446206","72,5925862404915","76,4044768532653","0,194201600959584","0,19245087587799"
9,Average,7781,4469,"461,610377648205","225,95937737641","0,785605423223332","0,213881912750115","27,5232848398044","53,3407100436204","0,0745462642749804","0,137267342403209"
Average,,75863,46637,"385,046667634142","215,571025376524","0,708104633569055","0,245962002773575","48,5728941758717","93,8161487688228","0,120049774638106","0,201763966015726"
