Start report at 03: 11:27 PM,10,iterations,5,generations, kValue:,50,Inherit ELO:,False,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,1560,890,"492,913941220641","129,686882705999","0,865129656068191","0,0774251524583435","6,94307980782437","9,73480876329352","0,0199520922956135","0,0279357308169813"
0,1,1778,672,"489,117919920131","230,620539771409","0,817975980103363","0,133447159128127","10,7349793349134","10,4113318465676","0,0308463091493889","0,0298282888300716"
0,2,1576,874,"357,938286165864","215,774591461081","0,660594472974303","0,295609247158188","68,5084185281647","96,6845963330642","0,174110811430025","0,222715177570457"
0,3,1352,1098,"208,114314816124","126,257864237812","0,490164605104444","0,239002895586841","85,7723051509606","115,826786804996","0,210148959966749","0,250403246953772"
0,4,1724,726,"482,063547709145","198,758523890067","0,815920274365152","0,171971396860563","7,29545618960393","11,4002216751023","0,0209430425651668","0,0326114719253797"
0,Average,7990,4260,"414,913173817467","216,302822750934","0,740226476170762","0,236380450045006","40,5502575551758","81,7735852757776","0,102489938504021","0,185009242125689"
1,0,1476,974,"494,185068748079","166,909633654628","0,84113564264078","0,146433681543343","10,1613636916056","14,2388267679258","0,0291383837229103","0,0406198548312873"
1,1,1516,934,"349,136606957867","171,951578695216","0,698122171881669","0,209792561555249","71,0832370819271","130,439860561587","0,161959002244181","0,263431918774677"
1,2,1429,1021,"359,296404989266","141,786369962874","0,724184395114269","0,202093731578275","61,897798272718","127,678107445707","0,13836459237122","0,235365589752263"
1,3,1417,1033,"451,925630205609","126,489874774928","0,837680538807256","0,0887954338285697","30,3747831396926","87,9113790475699","0,070579432192108","0,162442695545894"
1,4,1494,956,"498,870399949778","160,728963315","0,848486720840463","0,131968582392825","9,61314812441313","8,92525028716522","0,0276371843265537","0,0256249163227304"
1,Average,7332,4918,"430,692009803091","167,960009817149","0,789601937555131","0,175219259179247","36,6112005483591","94,5590172526674","0,0854514933558008","0,183559776927777"
2,0,1624,826,"498,454071445579","190,512052437678","0,848176667489632","0,0995688991974533","10,2665543025943","9,36112163692227","0,0295132383901408","0,0268768137455577"
2,1,1005,1445,"464,269754515336","157,663039892093","0,816918154138052","0,206983866385766","29,4868699005464","34,7407285469767","0,0830330862147459","0,0914191732634912"
2,2,1623,827,"303,924122860072","188,634837047361","0,616947442182067","0,254655413189412","97,8811607044686","128,302648898312","0,233513123308379","0,265710778913935"
2,3,1562,888,"489,103355822047","192,114746607466","0,831549290095323","0,147297896677404","7,24080318181867","7,76652251525402","0,0208211086714575","0,0223031284310472"
2,4,1556,894,"490,114723407385","197,8087045018","0,827377214820727","0,164763058726946","9,42395540202286","9,4957823596883","0,0270876956992422","0,0272390133257506"
2,Average,7370,4880,"447,211305038447","202,994690894154","0,785078193889192","0,201775994222814","30,1006701060844","64,8696871499597","0,0779060741643383","0,142694885720333"
3,0,1570,880,"479,435504699499","189,826006805171","0,821770936014693","0,169079701147143","22,1803188607512","53,3261667642155","0,0582277635332298","0,120823155558583"
3,1,1731,719,"479,475745457078","199,038605761175","0,830756516793525","0,113375339542361","6,2950800401689","8,11876824479603","0,0180983181122814","0,0233109447994133"
3,2,1539,911,"490,607740256486","176,274218797022","0,833329413491203","0,149722864786555","14,283229061417","23,3486444638248","0,0406815337281192","0,065968588357107"
3,3,1679,771,"479,375946860567","194,491784248681","0,818569053924225","0,150509847394597","7,00433384222032","8,3450086738582","0,0201388352446061","0,0239693038014412"
3,4,1204,1246,"268,138767446029","100,930937577431","0,617677389118808","0,195502875449987","72,7287985100301","114,521429602127","0,176265233973398","0,25212683162919"
3,Average,7723,4527,"448,717190315042","195,576310101552","0,793574373367013","0,172594849234988","29,3963528069677","70,9764251610069","0,0743246130688611","0,15979506433435"
4,0,1612,838,"429,044185872831","196,039765183828","0,76530294668467","0,222871398918523","39,8684290473125","75,0160402351125","0,102902150671788","0,174225552225805"
4,1,1221,1229,"192,339855371589","122,166302019683","0,461034596999625","0,229278047253687","86,9705647281394","103,73214715721","0,220941957076596","0,24445546415236"
4,2,1235,1215,"181,797672889631","124,46531114757","0,436888197194809","0,245213836026264","99,4283453926669","111,160609780671","0,249172004647565","0,245494556787827"
4,3,1608,842,"339,416527415769","171,910737466775","0,679102561185519","0,241066426681353","93,1029235030223","110,155510147489","0,232698038142576","0,248487176121843"
4,4,1442,1008,"461,659421059955","170,433606859554","0,818438579948612","0,15860316810102","27,1128718681086","64,8232784191772","0,0691840347670642","0,131703473220545"
4,Average,7118,5132,"331,902357165975","198,301663827938","0,647419762180393","0,268088959859575","71,4778728911188","100,53010853834","0,180472117754898","0,229009818173686"
5,0,1628,822,"489,515021110825","155,534479827688","0,851976501221196","0,111250468991047","8,02991042861993","9,52530990395397","0,0230769781849338","0,027316178210311"
5,1,1562,888,"276,868008695804","194,764010543011","0,567570176948593","0,274503358336617","82,9913494156728","125,512904916948","0,196678238968022","0,256820293814533"
5,2,1824,626,"478,70753879691","235,2615916885","0,803658323192317","0,150220407070852","11,2124212756973","15,9974188247218","0,0321073229188876","0,0454525889382053"
5,3,1592,858,"488,497784846379","187,167901183098","0,828671183631377","0,145321588585122","12,3145136087021","21,9732527106693","0,0350792565107976","0,0620503300963678"
5,4,1606,844,"497,190465979124","179,553693158214","0,841938256760408","0,123959665729387","11,2236040255998","11,9502024014917","0,0322316074585682","0,0342159972362403"
5,Average,8212,4038,"447,970920184455","210,508227071079","0,780666403626762","0,199603646982761","26,5860462718925","67,4829349383457","0,0671174381377263","0,144181517473433"
6,0,1332,1118,"246,906978506156","161,004768846828","0,542253360761304","0,244887560514451","92,1807537216378","111,779820045544","0,229374194955805","0,24327415075185"
6,1,1680,770,"333,664228637287","149,443021353867","0,685986073603378","0,219311652064234","108,496856283625","194,740510995403","0,207703253900341","0,325550073174023"
6,2,1487,963,"328,497817565986","157,583829615548","0,67941152121845","0,18291930354735","76,4776352578064","136,219654235867","0,17200109375393","0,257096510767022"
6,3,1823,627,"477,652315791714","202,240032200996","0,815788857466461","0,157011967756692","6,43956907005893","8,36642148241917","0,0185120529341669","0,0240111963943012"
6,4,1516,934,"493,565729537368","172,073545796827","0,84623301707273","0,128580234587027","5,41350478258453","5,79288068061146","0,0155720939061606","0,0166413233204604"
6,Average,7838,4412,"382,357498324624","194,483642806614","0,721497238234648","0,216618468278067","61,0476990086831","124,986019712412","0,137842316783083","0,237653281426089"
7,0,1720,730,"487,410248602653","203,623497148116","0,830570776830747","0,111619061158545","4,72699939798094","8,05121852967985","0,0135749193177433","0,0229293069313341"
7,1,1252,1198,"281,155764127749","110,526234956688","0,633425668117948","0,210721987653195","68,5656930439492","117,541973676232","0,162494871028882","0,240622258721989"
7,2,1587,863,"476,480782535648","191,900536575459","0,827526176586072","0,119580741947376","18,8964302537756","55,64674015114","0,0483416823863983","0,122930649671455"
7,3,1587,863,"501,867911247245","185,025734000189","0,854541724364226","0,0834653817948844","9,5895524883239","8,17447277782554","0,0275751450954324","0,0234832851244883"
7,4,1710,740,"488,688140450096","211,266014230156","0,824162432710359","0,146224876075135","11,7032910751411","16,0257578310687","0,0334355888910903","0,0443259118343516"
7,Average,7856,4394,"455,530644283049","202,299338039336","0,80198449482884","0,15575033335645","27,0451179629525","71,4668816203696","0,0670999327471054","0,151011056112318"
8,0,1155,1295,"175,910012003862","91,9710690129319","0,443121313947392","0,207043054000892","71,4747751973234","100,210697976495","0,180807963481456","0,233063190790142"
8,1,1643,807,"485,177295776007","200,903575393618","0,821335243015637","0,143055129086289","11,3707489258954","23,5972106188224","0,0322433347613546","0,0659578391951477"
8,2,1650,800,"487,002065746127","202,318451183108","0,831557642264145","0,110771586491545","10,9405263075528","22,5958438561587","0,0310438784005431","0,0631092893902044"
8,3,1656,794,"483,442168005012","206,478046559638","0,819420420905473","0,136265066526928","9,88106172288711","19,8755735990498","0,0280778409790077","0,05523299314503"
