Start report at 03: 33:31 PM,10,iterations,5,generations, kValue:,50,Inherit ELO:,True,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,1470,980,"504,447493550196","159,919090387661","0,863491617963487","0,102782286722806","9,11209027887199","9,1641029518381","0,0261941961312763","0,0263050530565743"
0,1,1091,1359,"187,548081501435","110,929012052984","0,457587953369091","0,2389812843691","77,8741686715075","94,4234319906355","0,200376394918403","0,21600617393783"
0,2,1172,1278,"260,149879735604","128,679378174294","0,587102452270209","0,229711770538094","80,2022646477175","96,8883703861084","0,205510846771411","0,225113027178719"
0,3,1173,1277,"201,88807130867","96,9300028249938","0,495777560198077","0,203456476353289","77,2100170786403","102,374345726005","0,194693962361451","0,23378842382654"
0,4,1595,855,"527,277050814183","197,505983569872","0,866185203979359","0,113287892307132","6,4569682037245","7,19422143548639","0,0185534858266202","0,0203470074189493"
0,Average,6501,5749,"358,232585014716","212,080232721947","0,679858127680679","0,253383382345132","55,9014154707365","87,3351937143912","0,143522719671935","0,203676758051426"
1,0,1274,1176,"513,589709927563","83,9704299831599","0,887489247626138","0,0887842953334911","10,7149097116638","12,6383219458201","0,0307636927543421","0,0361979253692036"
1,1,1426,1024,"530,268145679113","168,987311367427","0,864905440482931","0,132014051435344","8,48225188469805","12,2531544334941","0,0243037510436273","0,0345787686308765"
1,2,1472,978,"556,466784789019","193,652758161597","0,868983151948865","0,14311685864347","6,01544558695569","8,96655903831679","0,0172704019292279","0,0255085048540702"
1,3,1493,957,"587,137427622277","227,006570064775","0,873850501178981","0,152040455064158","2,88318826769589","4,55877098848419","0,00829236436854175","0,0130736321137183"
1,4,1414,1036,"256,387075766378","116,028014336964","0,589551956260482","0,199813399006137","104,617529021217","139,092636330789","0,243808880938131","0,278181856244228"
1,Average,7079,5171,"490,001734421428","206,430376504932","0,816703619675888","0,187008020425903","26,7477541622617","74,0761067192825","0,0654568536428475","0,155625894055958"
2,0,1546,904,"413,048428863341","154,284315189235","0,7800392236569","0,183805920313891","36,1383796228768","130,69570061452","0,0653857732965142","0,182460059421067"
2,1,1657,793,"470,628114180017","198,3365947402","0,803636027334608","0,184701992918466","12,9340306647738","15,0017473269358","0,0370959183027521","0,0428557028348918"
2,2,1612,838,"528,79409755789","219,122800636826","0,825523701601593","0,232342465430006","28,1911352455694","63,577488185733","0,0735635446926963","0,152897394690512"
2,3,1673,777,"586,28496684213","223,947368969672","0,880516995784998","0,116995359890792","8,81755520445961","8,95424671610947","0,0253468757969889","0,0256907126371833"
2,4,1478,972,"670,889980632759","204,253772471255","0,940930490421019","0,0314023407478094","4,20731349217027","3,99890072137375","0,0121067452386622","0,0115038169852594"
2,Average,7966,4284,"532,670083151448","220,275171904028","0,845105440979078","0,175666177134893","18,0883991457255","67,881673289296","0,0423983033596757","0,112496212401936"
3,0,850,1600,"484,062582166979","125,809078827244","0,846803224501795","0,21259725800837","4,56141852598428","4,6492962096536","0,0131244164729712","0,0133715021708074"
