Start report at 03: 21:07 PM,10,iterations,5,generations, kValue:,25,Inherit ELO:,True,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,1092,1358,"104,994422958066","58,853598285384","0,285687085689219","0,151359670631371","50,4229461488401","56,8215191422745","0,139140387753407","0,152321897609943"
0,1,1605,845,"316,994370603908","131,752948752078","0,678913206961695","0,161837118035926","22,895840496907","103,762337897873","0,0419173997785115","0,146076109838761"
0,2,1497,953,"332,602428083553","119,355473864547","0,708180542861173","0,14252795198295","9,58645221044138","12,6221237989236","0,0275270690477848","0,036189214522333"
0,3,1662,788,"445,638469233116","161,096936293979","0,806560241671616","0,151515545403322","4,47520435168673","5,23193506848954","0,0128753145897775","0,01504649590585"
0,4,1673,777,"362,118881064088","156,358483138097","0,724961194842609","0,160762371138943","18,5284855592143","24,9893308863732","0,0528062476485192","0,0705603843385734"
0,Average,7529,4721,"327,774170994318","169,567908915513","0,666109107190761","0,224180824839668","24,3338973427665","57,504463744848","0,0639233951502121","0,118539986817525"
1,0,1494,956,"353,831418664451","123,717115184993","0,730306076589415","0,169952159812121","14,7298041498377","54,69705759051","0,0359310204346559","0,111489775708928"
1,1,1574,876,"418,808113698237","139,888408370061","0,79281501466382","0,142301403429667","6,13114803590646","5,83199494700611","0,0176375482481176","0,0167626681009505"
1,2,1668,782,"433,993994406187","158,85147490377","0,79969982808365","0,153962301880253","2,29287461186989","3,06465931346477","0,00659748991249114","0,00880518823063943"
1,3,1649,801,"320,280931333235","145,150486898724","0,673894886753519","0,179692310666966","8,851958473514","9,87293774155571","0,0254431113025908","0,0283460432015305"
1,4,1664,786,"487,284158305951","197,728451910358","0,833050302914016","0,114233792241282","4,43240381200405","3,4931127126105","0,0127549973739633","0,0100479225682963"
1,Average,8049,4201,"403,865596757966","166,919620053646","0,766594085855938","0,163785554086763","7,57436194398978","27,0178942521646","0,0203201963822329","0,05640446478051"
2,0,1082,1368,"155,690393448919","69,8602167350566","0,407602121450417","0,171130044269768","50,9923959472598","69,5419131659465","0,137057940942521","0,177631343472318"
2,1,1258,1192,"215,969966095651","103,64365290976","0,520162667433622","0,21106141731443","95,9871970007726","118,374695181223","0,236155919421736","0,277195608045487"
2,2,1469,981,"232,910942986046","122,33159247438","0,541026910068913","0,239254457328431","57,9806477102072","103,058365766907","0,141608886868513","0,217703852805111"
2,3,1784,666,"301,650014873813","132,356245831074","0,654020629164596","0,183724220537847","38,8216321335396","86,6842270727233","0,0957343715559535","0,198041816252953"
2,4,1345,1105,"168,339217276924","92,9996469553597","0,425343385230413","0,203954325845749","121,228337897698","130,589496929461","0,292350256212979","0,296117036247196"
2,Average,6938,5312,"222,953772280039","122,330587931965","0,5230640411497","0,223423368266557","75,4642078807189","108,397683072667","0,187258577136615","0,249391862271251"
3,0,1617,833,"354,568573147819","146,182097314267","0,717854666057204","0,172164657001813","9,6185994591368","16,1144673138847","0,0275399407534886","0,0459340428008647"
3,1,1515,935,"317,170401941564","113,588376237226","0,68669129531154","0,175352852945947","31,6826756897365","61,2960096900356","0,0839123800025192","0,147443733854032"
3,2,1572,878,"263,747368525681","148,03046837164","0,577805749283438","0,250699534019343","61,5394230389835","78,7013254230106","0,164052818013682","0,204412646726742"
3,3,1356,1094,"194,384572798445","112,620963569293","0,470838551205258","0,223284701909464","87,235287650435","93,6740289479724","0,226672082061774","0,227948974267405"
3,4,1420,1030,"174,220687971612","90,3503873363384","0,440198078088481","0,199863512426016","91,1800035961128","104,504787533547","0,231509780384375","0,248924038543285"
