Start report at 03: 01:49 PM,10,iterations,5,generations, kValue:,30,Inherit ELO:,False,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,1742,708,"381,434491560176","181,257553847949","0,727951841581794","0,191365146403921","5,35179254899089","8,81212392873556","0,0153812179605127","0,0253015868214783"
0,1,1189,1261,"132,714460105875","76,8831090558754","0,349231399697005","0,18482989227259","63,1920486285993","85,2636483227717","0,165334843365844","0,209252684566254"
0,2,1639,811,"391,692150907516","156,413035176563","0,760879687916696","0,151869465924669","7,23432136021845","7,38125885288186","0,0208036470858277","0,021187969961235"
0,3,1150,1300,"221,32510468078","99,017828482458","0,533936526548157","0,207815741520723","63,7248228199727","73,9127261576971","0,170729243174473","0,184542620914705"
0,4,1730,720,"345,524551942466","160,232978512383","0,692434898200571","0,23837206253999","29,233966599637","62,243230184262","0,0767524968161213","0,152280567715487"
0,Average,7450,4800,"310,942437307985","175,119499978582","0,636556970495039","0,244602242355036","40,2566672262894","68,26984754104","0,106970564879458","0,170293669160639"
1,0,1326,1124,"306,210875082405","129,343098677209","0,662533811374113","0,176040941664352","50,302272196984","96,9151508056322","0,123301097267426","0,208656539257261"
1,1,1605,845,"319,687480943803","140,422186795112","0,678194284634248","0,181138827105679","50,7938850587487","101,850905625092","0,122302460329832","0,226793715756296"
1,2,1592,858,"261,465744871296","119,721142773691","0,59495021141982","0,215160301835224","66,9985413771106","117,763827515935","0,158377921832075","0,233829566890527"
1,3,1515,935,"303,264161898599","135,894815415757","0,650592870140127","0,221744695240166","41,0433116998509","99,3804835453489","0,0955841411539669","0,202981774258052"
1,4,1484,966,"286,286167501561","120,435078935858","0,63587917515862","0,199408213223835","56,1812938653042","115,203522837614","0,129694061114875","0,229432690204469"
1,Average,7522,4728,"295,091913182379","131,111090465939","0,643907909000011","0,202117271839175","52,7901780116028","106,474737225659","0,125313008514201","0,220789047633222"
2,0,1357,1093,"332,652637045993","114,420944955361","0,706437572239266","0,178963667702046","42,4917253662051","80,849672002401","0,108245503460441","0,185006336876992"
