Start report at 10: 44:34 PM,10,iterations,5,generations, kValue:,50,Inherit ELO:,False,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
6,4,4066,785,"295,127803130359","138,18927132727","0,636924312101833","0,27337295730563","27,9572551995579","31,3623993917953","0,0787359607653901","0,0793530581654843"
6,Average,18158,6097,"293,946529298529","213,339873783353","0,583742045620068","0,329520586733743","41,7323656209994","64,1896050301203","0,110841012445157","0,138629774515447"
7,0,3279,1572,"291,675357800736","174,726839013633","0,603896725227808","0,272861333643767","86,9078577408857","137,589239246291","0,199870820167898","0,226614114835828"
7,1,3596,1255,"224,128910544518","169,826215784808","0,493751957963305","0,24848852439636","82,3549010957062","114,144631645622","0,2018735699646","0,220137969035023"
7,2,3561,1290,"336,087083590972","160,65805552439","0,684513239393458","0,22352481593664","48,9892468153443","41,2790675483007","0,137213728551848","0,106098776024718"
7,3,3760,1091,"314,131128141298","189,47825263816","0,626246580719425","0,272434872690035","49,0505063877242","67,8652290103484","0,130706588641181","0,158258566541862"
7,4,3519,1332,"279,55776248828","136,301715364424","0,616803634026438","0,214813535818222","91,0773783775123","146,960124054014","0,204777891205422","0,246239313602216"
7,Average,17715,6540,"289,250577094084","171,631672869553","0,605051096809611","0,255313973870519","73,0886624011361","113,547005721581","0,177357646595496","0,203622786248374"
8,0,3806,1045,"298,034933415189","140,569159763083","0,639485051547774","0,28312370474291","26,9094485404567","17,835427569278","0,0770746425995895","0,0508372926909511"
8,1,3645,1206,"254,936508248149","140,49400796322","0,569023352971564","0,290782506319427","120,014101781756","210,092247377808","0,230496440538979","0,297310156619916"
8,2,2798,2053,"297,950025846998","106,120524602186","0,662202025600702","0,189411284551534","39,0554873006821","60,9862779421608","0,105453482295313","0,154230928699462"
8,3,3026,1825,"274,860738162853","136,23051801187","0,611291768389978","0,202175418833712","44,5194529121548","49,3531058319526","0,122688776971534","0,117276312865926"
8,4,2933,1918,"353,678192692859","95,1174757922273","0,744331902859151","0,15473585588343","27,5815133643595","50,3239860187583","0,0744288524354132","0,119544052140112"
8,Average,16208,8047,"294,070547526628","131,102019159461","0,641270104740678","0,243589887539416","48,1157748352679","98,5839525701967","0,117022401504042","0,169670618876416"
9,0,4255,596,"184,425819543245","183,140492737743","0,394755307880758","0,382773896994724","28,1996361127484","16,985796837342","0,080789223801816","0,0484676719250406"
9,1,3757,1094,"277,900440446593","146,210701861856","0,603403914802838","0,291994090419131","41,3825195128712","60,5942098909151","0,110600993366543","0,130190773112967"
9,2,3413,1438,"251,28241178504","159,719329330907","0,552880147736159","0,292390603835726","72,4233287368998","179,372897670899","0,135470546255682","0,253377835299664"
9,3,3646,1205,"370,748073113084","171,046983122187","0,721317119981503","0,215856290555857","36,9168500759545","47,5402093968555","0,101800839299058","0,116569870994467"
9,4,3393,1458,"350,950126441337","165,168668601795","0,704280650212848","0,205233630786628","53,5350227170864","109,651744177916","0,125926544494145","0,210042364109691"
9,Average,18464,5791,"283,197137235835","179,956798100321","0,58780322534636","0,314218229330921","49,8641121839023","111,520343698153","0,115735697266859","0,183343316584375"
Average,,172414,70136,"289,320185130842","171,957451858155","0,607264461178403","0,278205040864163","49,9434504491355","93,5047767886741","0,123759482649097","0,173188935559881"
