Start report at 10: 42:12 PM,10,iterations,5,generations, kValue:,45,Inherit ELO:,False,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,3112,1739,"192,717374477198","102,656498541663","0,474247176314286","0,224434396126849","58,710247790136","78,5615801036687","0,153487124815124","0,165179213569141"
0,1,3266,1585,"271,4069786389","206,721593260464","0,546855791375463","0,305555008003677","46,1419562599738","44,3897092227697","0,128910135671252","0,117348560183565"
0,2,3672,1179,"283,547650902092","136,949009944112","0,621667569618947","0,243251367562039","88,3145122885554","139,525837575507","0,201826114516137","0,256284459386763"
0,3,3241,1610,"212,428056687831","110,921081001075","0,509703533176686","0,23516902452422","89,5741502354002","137,918334277574","0,206124730310309","0,238583192253986"
0,4,3032,1819,"196,781578831899","106,004336795348","0,480995229502436","0,233415980016052","96,6647086779371","146,126627861659","0,219937503215445","0,236055730516266"
0,Average,16323,7932,"233,563665653602","144,275865220759","0,530232079264851","0,256444672146463","75,5676271471853","117,471217110422","0,181683913042795","0,209943947750889"
1,0,3524,1327,"230,031239935604","161,926574738145","0,506362474312199","0,347546419197907","31,6037065994283","18,2074700817915","0,0904662401466424","0,0518919534239118"
1,1,4174,677,"245,62219129126","151,492732840717","0,544097073486073","0,324962097533617","21,5817138759235","16,2850696725786","0,0618723568171354","0,0464726574978033"
1,2,3805,1046,"338,33727733177","263,289468637118","0,613911627618409","0,28045776692113","106,352160434725","163,227839105952","0,230076867412476","0,270094924502311"
1,3,3396,1455,"311,299877436975","163,987807741848","0,646565046195919","0,217754328098008","84,148180644344","89,8757723122154","0,219294492579735","0,213470771072517"
1,4,3728,1123,"299,192295574987","184,053612893967","0,609687427397367","0,278713037964765","109,477647398169","196,933603191417","0,212731339830564","0,305733152491538"
1,Average,18627,5628,"284,307388087705","193,939847573083","0,583028180249847","0,298829390753232","73,4136992949233","126,945475679951","0,170676522900938","0,222365529396488"
2,0,2844,2007,"230,541382691505","95,2165590379892","0,554023082334504","0,198460585146468","43,7386311436564","50,5623165183286","0,120353238510463","0,12174036573075"
2,1,3269,1582,"312,369043780545","176,181705721177","0,645988357028539","0,210543501359327","70,2886223133511","152,840854626589","0,146488223761435","0,245722883094719"
2,2,3508,1343,"337,052938335302","149,162848049534","0,689341313758274","0,229087343379604","32,558991028889","40,0024595033426","0,0906516315035941","0,0994672989101035"
2,3,3029,1822,"269,959745903208","132,023722039031","0,60143959370562","0,235237963661473","80,1443934531326","149,189822218278","0,17451791225897","0,252902378968602"
2,4,3503,1348,"362,708462680021","213,61867201176","0,68913548754116","0,206758435533502","45,7511723471029","71,8942291253503","0,119643069694075","0,145384273029953"
2,Average,16153,8102,"306,286858124337","167,438726341209","0,640214762343879","0,222689245749589","55,5915111518565","107,897260136396","0,132595526397663","0,189184513578316"
3,0,2989,1862,"340,106155313949","169,783969770822","0,686566213188404","0,204967901557185","41,3072795759638","53,2159305311671","0,113661694911015","0,138463841023541"
3,1,3887,964,"297,875442262917","123,591466366022","0,652507121435671","0,205385459809693","19,8882695319279","22,4223399516003","0,056750424846719","0,06276861443765"
3,2,3408,1443,"272,010753871451","143,889514914461","0,599756138140524","0,22982684925751","97,0919603043313","106,31451119093","0,245038268191536","0,22964238811276"
3,3,3620,1231,"328,484204215552","133,982570602466","0,689051790030609","0,225481135347012","21,6259216809421","21,4579491299357","0,0617533831196757","0,0600958259892736"
3,4,3430,1421,"305,496449250046","159,437678983321","0,640871685081958","0,226665014897545","79,8281240042569","129,835384787806","0,185002495424289","0,220508243792268"
3,Average,17334,6921,"307,972622112104","147,613943957641","0,653338402605597","0,221189081868395","54,3631583467219","87,448870697623","0,138541058675794","0,17967359566738"
4,0,1625,3226,"227,838180975585","73,8569090519409","0,559072353362523","0,155292422735912","8,50087893516273","28,344569918288","0,0233376778867898","0,0727635061937987"
4,1,3470,1381,"238,19119823329","157,629806008386","0,525291466069078","0,336674098340445","34,5989131917165","19,9348110982372","0,098932417905332","0,0566974341979908"
4,2,3769,1082,"215,078293853295","166,528830450851","0,473446898242555","0,358497638479794","31,2391410640955","18,3287291963266","0,0894225821068794","0,0522339771721502"
4,3,4714,137,"104,819470689428","171,40671272711","0,219135509584461","0,347706418362626","19,0371190206878","12,0326891991958","0,0546670980395506","0,0344708279886448"
4,4,4152,699,"282,570550561824","274,303685004738","0,508201745665919","0,368511492818631","39,3950532262106","43,4684175709239","0,109540376333025","0,109298038864389"
4,Average,17730,6525,"207,261280442785","202,601073838686","0,431964679139088","0,364165598029201","21,3258103762302","30,2071706740803","0,0601879490142367","0,0802963360141253"
5,0,3521,1330,"242,86383210613","158,319833060121","0,533229011799519","0,336501661364151","31,5765698681456","18,2402192194792","0,0903878508772476","0,0519840317616192"
5,1,3475,1376,"241,665309234095","156,097765352514","0,532946255442415","0,332530114060517","33,7351671299886","20,2810916625833","0,096464750561848","0,05769624108657"
5,2,3612,1239,"196,798265547489","152,636322850317","0,449496576296387","0,318846274919562","93,4640811395898","143,606041931063","0,212431932115081","0,245151418174829"
5,3,3217,1634,"349,94112965761","216,80449304839","0,654987658877873","0,278000220200866","46,9316964888667","66,8863372401993","0,125589927072428","0,161120385100839"
5,4,3492,1359,"217,764897317586","145,491874389063","0,497243161002202","0,265042480765377","58,9029409246079","56,9382625453494","0,161441528774515","0,139462928563481"
5,Average,17317,6938,"247,845554838206","174,703097798352","0,531069910412937","0,315298693140018","52,0256432987605","77,3653577812873","0,135596350644471","0,154073935893301"
6,0,1728,3123,"293,02768964063","140,159624965426","0,639481046040119","0,210457194855437","72,3369858599395","100,15510843347","0,181903903679719","0,212848910808241"
